C,degree,gamma,kernel,mean_f1,rank
100.0,5,scale,rbf,0.6262626262626262,204
100.0,5,scale,sigmoid,0.6735930735930736,112
100.0,5,auto,linear,0.611111111111111,242
100.0,5,auto,poly,0.48148148148148145,404
100.0,5,auto,rbf,0.5373737373737374,367
100.0,5,auto,sigmoid,0.6735930735930736,112
100.0,5,0.01,linear,0.611111111111111,242
100.0,5,0.01,poly,0.6,347
100.0,5,0.01,rbf,0.4740740740740741,406
100.0,5,0.01,sigmoid,0.7111111111111112,13
100.0,5,0.1,linear,0.611111111111111,242
100.0,5,0.1,poly,0.6,347
100.0,5,0.1,rbf,0.15384615384615385,522
100.0,5,0.1,sigmoid,0.48888888888888893,394
100.0,5,1.0,linear,0.611111111111111,242
100.0,5,1.0,poly,0.6,347
100.0,5,1.0,rbf,0.15384615384615385,522
100.0,5,1.0,sigmoid,0.4000000000000001,449
100.0,6,scale,linear,0.611111111111111,242
100.0,6,scale,poly,0.19047619047619047,508
100.0,6,scale,rbf,0.6262626262626262,204
100.0,6,scale,sigmoid,0.6735930735930736,112
100.0,6,auto,linear,0.611111111111111,242
100.0,6,auto,poly,0.16666666666666666,509
100.0,6,auto,rbf,0.5373737373737374,367
100.0,6,auto,sigmoid,0.6735930735930736,112
100.0,6,0.01,linear,0.611111111111111,242
100.0,6,0.01,poly,0.42857142857142855,437
100.0,6,0.01,rbf,0.4740740740740741,406
100.0,6,0.01,sigmoid,0.7111111111111112,13
100.0,6,0.1,linear,0.611111111111111,242
100.0,6,0.1,poly,0.42857142857142855,437
100.0,6,0.1,rbf,0.15384615384615385,522
100.0,6,0.1,sigmoid,0.48888888888888893,394
100.0,6,1.0,linear,0.611111111111111,242
100.0,6,1.0,poly,0.42857142857142855,437
100.0,6,1.0,rbf,0.15384615384615385,522
100.0,6,1.0,sigmoid,0.4000000000000001,449
0.1,2,0.01,linear,0.6613247863247863,152
100.0,6,0.01,linear,0.6910714285714286,40
100.0,6,0.1,linear,0.6910714285714286,40
0.1,2,auto,linear,0.6613247863247863,152
100.0,6,1.0,linear,0.6910714285714286,40
0.1,2,0.1,linear,0.6613247863247863,152
100.0,5,scale,linear,0.6910714285714286,40
0.1,3,0.01,linear,0.6613247863247863,152
0.1,3,0.1,linear,0.6613247863247863,152
100.0,3,scale,linear,0.6910714285714286,40
100.0,3,auto,linear,0.6910714285714286,40
100.0,3,0.01,linear,0.6910714285714286,40
100.0,3,0.1,linear,0.6910714285714286,40
0.1,4,0.1,linear,0.6613247863247863,152
100.0,3,1.0,linear,0.6910714285714286,40
0.1,4,0.01,linear,0.6613247863247863,152
0.1,4,auto,linear,0.6613247863247863,152
100.0,4,scale,linear,0.6910714285714286,40
100.0,4,auto,linear,0.6910714285714286,40
0.1,4,scale,linear,0.6613247863247863,152
100.0,4,0.01,linear,0.6910714285714286,40
100.0,4,0.1,linear,0.6910714285714286,40
0.1,3,1.0,linear,0.6613247863247863,152
100.0,4,1.0,linear,0.6910714285714286,40
0.1,5,scale,linear,0.6613247863247863,152
10.0,6,0.1,linear,0.6910714285714286,40
0.1,2,scale,linear,0.6613247863247863,152
10.0,6,0.01,linear,0.6910714285714286,40
10.0,4,auto,linear,0.6910714285714286,40
1.0,5,0.1,linear,0.6910714285714286,40
1.0,3,0.01,linear,0.6910714285714286,40
1.0,4,scale,linear,0.6910714285714286,40
10.0,4,scale,linear,0.6910714285714286,40
1.0,2,0.1,linear,0.6910714285714286,40
1.0,6,scale,linear,0.6910714285714286,40
10.0,3,1.0,linear,0.6910714285714286,40
1.0,3,1.0,linear,0.6910714285714286,40
1.0,2,1.0,linear,0.6910714285714286,40
10.0,3,0.1,linear,0.6910714285714286,40
1.0,6,auto,linear,0.6910714285714286,40
1.0,6,0.01,linear,0.6910714285714286,40
10.0,3,0.01,linear,0.6910714285714286,40
1.0,6,0.1,linear,0.6910714285714286,40
10.0,3,auto,linear,0.6910714285714286,40
1.0,3,0.1,linear,0.6910714285714286,40
1.0,6,1.0,linear,0.6910714285714286,40
1.0,3,scale,linear,0.6910714285714286,40
10.0,3,scale,linear,0.6910714285714286,40
10.0,2,scale,linear,0.6910714285714286,40
10.0,2,1.0,linear,0.6910714285714286,40
1.0,3,auto,linear,0.6910714285714286,40
10.0,2,0.1,linear,0.6910714285714286,40
10.0,2,0.01,linear,0.6910714285714286,40
1.0,5,0.01,linear,0.6910714285714286,40
1.0,5,auto,linear,0.6910714285714286,40
1.0,5,1.0,linear,0.6910714285714286,40
1.0,5,scale,linear,0.6910714285714286,40
1.0,4,1.0,linear,0.6910714285714286,40
0.1,6,0.01,linear,0.6613247863247863,152
10.0,6,auto,linear,0.6910714285714286,40
0.1,6,0.1,linear,0.6613247863247863,152
10.0,6,scale,linear,0.6910714285714286,40
0.1,6,1.0,linear,0.6613247863247863,152
1.0,4,0.1,linear,0.6910714285714286,40
1.0,4,0.01,linear,0.6910714285714286,40
10.0,5,0.1,linear,0.6910714285714286,40
10.0,5,0.01,linear,0.6910714285714286,40
10.0,4,0.01,linear,0.6910714285714286,40
1.0,4,auto,linear,0.6910714285714286,40
1.0,2,scale,linear,0.6910714285714286,40
10.0,5,auto,linear,0.6910714285714286,40
10.0,2,auto,linear,0.6910714285714286,40
10.0,4,1.0,linear,0.6910714285714286,40
10.0,5,scale,linear,0.6910714285714286,40
1.0,2,0.01,linear,0.6910714285714286,40
1.0,2,auto,linear,0.6910714285714286,40
10.0,4,0.1,linear,0.6910714285714286,40
10.0,3,0.01,sigmoid,0.6294793779580798,199
10.0,2,0.01,sigmoid,0.6294793779580798,199
10.0,5,0.01,sigmoid,0.6294793779580798,199
10.0,6,0.01,sigmoid,0.6294793779580798,199
10.0,4,0.01,sigmoid,0.6294793779580798,199
10.0,2,scale,rbf,0.6114518777477621,237
100.0,5,scale,rbf,0.6356481481481482,189
10.0,6,scale,rbf,0.6114518777477621,237
10.0,4,scale,rbf,0.6114518777477621,237
10.0,5,scale,rbf,0.6114518777477621,237
10.0,3,scale,rbf,0.6114518777477621,237
100.0,2,scale,rbf,0.6356481481481482,189
100.0,6,scale,rbf,0.6356481481481482,189
100.0,4,scale,rbf,0.6356481481481482,189
100.0,3,scale,rbf,0.6356481481481482,189
1.0,3,scale,sigmoid,0.772053872053872,1
1.0,2,scale,sigmoid,0.772053872053872,1
